trade_no,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,ETHUSDT,2024-01-03 02:10:00+00:00,2024-01-03 02:10:00+00:00,LONG,2378.88,2381.2589,21.018294,50.0,35.0,15.0,WIN,10015.0
2,ETHUSDT,2024-01-03 04:15:00+00:00,2024-01-03 04:15:00+00:00,LONG,2371.16,2373.5312,21.086725,50.0,35.0,15.0,WIN,10030.0
3,ETHUSDT,2024-01-03 11:15:00+00:00,2024-01-03 11:20:00+00:00,SHORT,2343.18,2340.8368,21.338523,50.0,35.0,15.0,WIN,10045.0
4,ETHUSDT,2024-01-03 22:50:00+00:00,2024-01-03 22:55:00+00:00,SHORT,2209.06,2206.8509,22.634062,50.0,35.0,15.0,WIN,10060.0
5,ETHUSDT,2024-01-04 10:10:00+00:00,2024-01-04 10:15:00+00:00,SHORT,2220.23,2218.0098,22.520189,50.0,35.0,15.0,WIN,10075.0
6,ETHUSDT,2024-01-04 22:55:00+00:00,2024-01-04 23:10:00+00:00,SHORT,2269.22,2266.9508,22.034003,50.0,35.0,15.0,WIN,10090.0
7,ETHUSDT,2024-01-05 09:05:00+00:00,2024-01-05 09:05:00+00:00,LONG,2263.56,2265.8236,22.089099,50.0,35.0,15.0,WIN,10105.0
8,ETHUSDT,2024-01-05 22:05:00+00:00,2024-01-05 22:05:00+00:00,LONG,2246.52,2248.7665,22.256646,50.0,35.0,15.0,WIN,10120.0
9,ETHUSDT,2024-01-06 06:10:00+00:00,2024-01-06 06:10:00+00:00,SHORT,2231.62,2229.3884,22.405248,50.0,35.0,15.0,WIN,10135.0
10,ETHUSDT,2024-01-06 13:45:00+00:00,2024-01-06 14:00:00+00:00,LONG,2238.01,2240.248,22.341276,50.0,35.0,15.0,WIN,10150.0
11,ETHUSDT,2024-01-06 22:35:00+00:00,2024-01-06 22:35:00+00:00,SHORT,2234.53,2232.2955,22.37607,50.0,35.0,15.0,WIN,10165.0
12,ETHUSDT,2024-01-07 09:25:00+00:00,2024-01-07 09:30:00+00:00,SHORT,2235.65,2233.4144,22.36486,50.0,35.0,15.0,WIN,10180.0
13,ETHUSDT,2024-01-08 06:45:00+00:00,2024-01-08 07:10:00+00:00,LONG,2223.27,2225.4933,22.489396,50.0,35.0,15.0,WIN,10195.0
14,ETHUSDT,2024-01-08 07:20:00+00:00,2024-01-08 08:10:00+00:00,LONG,2227.01,2229.237,22.451628,50.0,35.0,15.0,WIN,10210.0
15,ETHUSDT,2024-01-09 01:40:00+00:00,2024-01-09 01:40:00+00:00,SHORT,2303.44,2301.1366,21.706665,50.0,35.0,15.0,WIN,10225.0
16,ETHUSDT,2024-01-09 21:30:00+00:00,2024-01-09 21:30:00+00:00,LONG,2290.83,2293.1208,21.82615,50.0,35.0,15.0,WIN,10240.0
17,ETHUSDT,2024-01-10 09:25:00+00:00,2024-01-10 09:25:00+00:00,LONG,2400.63,2403.0306,20.827866,50.0,35.0,15.0,WIN,10255.0
18,ETHUSDT,2024-01-10 12:55:00+00:00,2024-01-10 12:55:00+00:00,SHORT,2358.0,2355.642,21.204411,50.0,35.0,15.0,WIN,10270.0
19,ETHUSDT,2024-01-11 06:35:00+00:00,2024-01-11 06:35:00+00:00,SHORT,2578.12,2575.5419,19.393977,50.0,35.0,15.0,WIN,10285.0
20,ETHUSDT,2024-01-11 16:25:00+00:00,2024-01-11 16:25:00+00:00,SHORT,2589.56,2586.9704,19.308299,50.0,35.0,15.0,WIN,10300.0
21,ETHUSDT,2024-01-12 10:35:00+00:00,2024-01-12 10:35:00+00:00,LONG,2618.44,2621.0584,19.095339,50.0,35.0,15.0,WIN,10315.0
22,ETHUSDT,2024-01-12 17:30:00+00:00,2024-01-12 20:50:00+00:00,SHORT,2573.24,2570.6668,19.430757,50.0,35.0,15.0,WIN,10330.0
23,ETHUSDT,2024-01-13 04:50:00+00:00,2024-01-13 05:40:00+00:00,LONG,2547.92,2550.4679,19.62385,50.0,35.0,15.0,WIN,10345.0
24,ETHUSDT,2024-01-13 10:15:00+00:00,2024-01-14 16:35:00+00:00,SHORT,2527.0,2524.473,19.786308,50.0,35.0,15.0,WIN,10360.0
25,ETHUSDT,2024-01-15 06:10:00+00:00,2024-01-15 09:15:00+00:00,LONG,2520.52,2523.0405,19.837176,50.0,35.0,15.0,WIN,10375.0
